TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049006387,763,91,4,78,0,0,23,23,5,0,0,0,53,0,3575,172,5,345,4,5,8,140,7,2,3,0,99,0,4501,275,11,430,188,1040,4365,5073,332,5405,Net-outflow,-5
39049006391,1148,41,1,86,1,6,8,25,1,0,0,0,7,1,3034,76,0,211,2,4,2,52,1,0,0,0,6,0,4259,119,1,300,34,1325,3388,4620,93,4713,Net-outflow,-9
39049006392,871,27,2,76,0,2,8,10,3,1,1,0,4,2,2970,56,3,224,0,2,5,54,1,0,0,0,9,0,3905,87,6,301,32,1007,3324,4246,85,4331,Net-outflow,-17
39049006393,1107,56,7,125,3,9,30,17,7,1,0,0,3,0,3155,142,7,356,1,2,8,98,4,3,0,3,20,0,4377,209,18,488,72,1365,3799,5008,156,5164,Net-inflow,4
39049006394,599,38,0,33,0,0,20,26,2,0,0,0,12,2,1702,74,3,99,0,3,8,45,5,0,0,0,21,0,2372,119,3,132,66,732,1960,2579,113,2692,Net-outflow,-10
39049006395,337,38,4,98,0,5,7,11,1,0,0,0,24,0,2365,108,4,465,0,15,11,37,5,1,1,0,48,0,2750,152,9,564,110,525,3060,3457,128,3585,Net-inflow,17
39049006396,475,27,0,64,0,9,19,19,4,1,0,0,33,2,2853,146,6,337,0,6,9,124,7,1,0,0,50,0,3471,184,8,401,128,653,3539,3951,241,4192,Net-outflow,-4
39049006410,527,9,0,13,0,3,8,14,0,0,0,0,3,1,1957,16,0,58,1,3,4,10,0,0,0,0,2,0,2508,25,0,72,24,578,2051,2599,30,2629,Net-outflow,-13
39049006430,991,3,2,107,0,4,13,18,0,1,0,0,5,3,2909,21,2,247,0,8,9,44,2,2,0,0,6,1,3962,26,7,354,49,1147,3251,4316,82,4398,Net-outflow,-16
39049006500,1129,2,1,10,0,3,4,13,0,0,0,0,3,0,2358,6,4,51,0,5,2,33,1,0,0,0,3,0,3533,9,5,61,20,1165,2463,3575,53,3628,Net-outflow,-15
39049006600,939,9,0,8,1,0,13,22,0,0,0,0,0,3,2760,40,1,47,0,0,5,21,0,0,0,1,2,0,3742,49,1,57,23,995,2877,3823,49,3872,Net-outflow,-8
39049006710,485,14,0,17,0,6,18,20,0,0,0,2,2,2,1917,67,0,37,0,3,4,10,2,2,0,0,10,0,2432,83,2,56,45,566,2052,2568,50,2618,Net-outflow,-13
39049006721,705,21,0,17,0,1,14,30,0,0,0,0,1,1,2474,20,1,51,0,0,6,10,0,0,0,0,3,0,3219,41,1,68,26,790,2565,3310,45,3355,Net-outflow,-7
39049006722,562,31,0,12,0,8,26,9,2,0,0,0,4,0,1932,98,0,61,0,4,6,24,0,1,0,0,9,0,2527,131,1,73,57,654,2135,2740,49,2789,Net-outflow,-3
